Structure [idcode]	Molecule Name	_SMILES	_CXSMILES_Data	Stereo Centers	cLogP	H-Acceptors	H-Donors	Stereo Centers 2
eghRL@@DGBc`KMlbbbbrRtJbRrbbTS@bafQRusULuSUUPPLU@@@ !B@k_}mpC~@k]??`Jw@h`@?`C~@OxBmpJH?[\@?`Jw^KRVOqAUDEVVOqAUec}xm@^KDETPUV|jec}xm@	Z1901174509	CN1C=C(C(=O)NC2CCN(C3=CC=CC=C3C(N)=O)CC2)C2=C(CCCC2)C1=O		0	1.3607	7	2	0
fcI`@DV\dAUyEEEDdedddULeDiFUhLU{ZjjjBBfii``@@ !B_uEeGrnDwyeTnv\lFBqeGvT_FfAeXER{?Xc|bM]C?Hc}bM]Cwg?pw]]CutOWPz?rDW~KAu}y	PV-004545113294	O=C(CCC1=COC=C1)NCC1CCN(C(=O)C2CC3=NC=CN=C3C2)CC1		0	1.3108	7	1	0
fcopP@DXb@luyEDeDdhideEDTXUVCVJVjB@BBZJf``@@ !BaBm`Fig_il@_Y[mTXAh_YZ[@ilBYw{mTXAiSFA}eGvW~@BpX_?zYw{mTnuQ??a}e?[_}bG?~	PV-006721482940	COC(=O)CC1=CNC2=CC=C(NC(=O)NCC3=CC(OC)=CC(C)=C3)C=C12		0	2.7348	7	3	0
fbuHC@EF|dFIrPcDYEEDhjeDhifBBf@bJ`Hb@@@ !B@h`@?ovH@h`BmpJH@O{}b@Jw@k_}mw?~@k_}mpC~?[]??`Jw@k\	PV-008524897524	CC1=NC(Cl)=NC(NCCC2=C(Br)C=CC=C2F)=C1N		0	3.3377	4	2	0
fncqa@EIsKQ`XdXcHhdieEMeMDUJLSf@BfZifjH@@ !B@hc}b@C~@h`Bb@C~?X`Bb@JH_?x@?ovH?X`BbK}Ntm@knyg@nuQN`H@qotx	PV-008836823861	COC(=O)C1=CC=C(Br)C=C1C(=O)NC1=CN(C(C)C)N=C1Cl		0	2.9544	6	1	0
fleaC@IQAHHdLRFQRFPiQQIHtYxMUUUUUU@@@ !BDW|gukB^DW|`^Sj_osF?L[|qs\}SFEMgXFUSFBqg?g}SFMKP	Z4969560592	COCCN(CCC1(C(F)(F)F)CC1)C1CCCC1		0	2.9802	2	0	0
fleQ`@MA@cvQSRJEJ[JIJMEKUPAESP`@@ !BsB_}mpC~@O{~@Oy?@h`BmpC~@OxBb@Jw?Xc}bK}NtmBYpKmT	Z3838821516	CC(C)(C(=O)O)C1=CC=CC(NCC2=NC=CO2)=C1		0	1.4922	5	2	0
fcqb@I^jQqPRFQQQIKIKSIQQSEQ`mFZM^xHH@Ijejj`X@@ !B?Xa??`JH?[_}bOvH@k\Bb@JH?Xc}b@JH@hc}b@C~@h`BbOvH@Oy??`JH@h`BmpC~@hbVP@^t	Z6114907897	COC1=CC2=CC=C(C(=O)NCC3=C(C)C=C(C4CC4)NC3=O)N=C2C=C1F		0	2.4313	6	2	0
fmwqb@KA[zoPAFRJJJUKIJYJJJYDhkPyuK@ATuRuUB@@ !Botzfw?vHs\~w?]CM@ha??ovH?Xa??ovH?X`Bb@C~?X`Bb@JH@O{}b@Jw@ha??`JH?Xc}b@	PV-005576256899	COC1=C(CNC(=O)NCC2=CC=C(C3=CC=C(C)S3)C=C2)C(=O)NC=C1		0	2.3433	6	3	0
fjmac@LPPD@QfPKHYIHUEDemDmiHvkKTEAEUU@@@ !BbGvw@gvw@ha??gvH@O{~_w?~@h`BbG?~@Oy??oy?@ha??`C~@O{~@@	PV-002336412750	CCC1(C)CC(NS(=O)(=O)C2=CC=C(OC(F)F)C=C2)C1		0	2.8813	4	1	0
